E:\simulator-windows-64\IMG\center_2020_11_21_19_20_55_355.jpg, E:\simulator-windows-64\IMG\left_2020_11_21_19_20_55_355.jpg, E:\simulator-windows-64\IMG\right_2020_11_21_19_20_55_355.jpg, 0, 0, 0, 1.723583
E:\simulator-windows-64\IMG\center_2020_11_21_19_20_55_457.jpg, E:\simulator-windows-64\IMG\left_2020_11_21_19_20_55_457.jpg, E:\simulator-windows-64\IMG\right_2020_11_21_19_20_55_457.jpg, 0, 0, 0, 1.706295
E:\simulator-windows-64\IMG\center_2020_11_21_19_20_55_564.jpg, E:\simulator-windows-64\IMG\left_2020_11_21_19_20_55_564.jpg, E:\simulator-windows-64\IMG\right_2020_11_21_19_20_55_564.jpg, 0, 0, 0, 1.685577
E:\simulator-windows-64\IMG\center_2020_11_21_19_20_55_671.jpg, E:\simulator-windows-64\IMG\left_2020_11_21_19_20_55_671.jpg, E:\simulator-windows-64\IMG\right_2020_11_21_19_20_55_671.jpg, 0, 0, 0, 1.667711
E:\simulator-windows-64\IMG\center_2020_11_21_19_20_55_772.jpg, E:\simulator-windows-64\IMG\left_2020_11_21_19_20_55_772.jpg, E:\simulator-windows-64\IMG\right_2020_11_21_19_20_55_772.jpg, 0, 0, 0, 1.650024
E:\simulator-windows-64\IMG\center_2020_11_21_19_20_55_875.jpg, E:\simulator-windows-64\IMG\left_2020_11_21_19_20_55_875.jpg, E:\simulator-windows-64\IMG\right_2020_11_21_19_20_55_875.jpg, 0, 0, 0, 1.632516
E:\simulator-windows-64\IMG\center_2020_11_21_19_20_55_980.jpg, E:\simulator-windows-64\IMG\left_2020_11_21_19_20_55_980.jpg, E:\simulator-windows-64\IMG\right_2020_11_21_19_20_55_980.jpg, 0, 0, 0, 1.615184
E:\simulator-windows-64\IMG\center_2020_11_21_19_20_56_084.jpg, E:\simulator-windows-64\IMG\left_2020_11_21_19_20_56_084.jpg, E:\simulator-windows-64\IMG\right_2020_11_21_19_20_56_084.jpg, 0, 0, 0, 1.594617
E:\simulator-windows-64\IMG\center_2020_11_21_19_20_56_185.jpg, E:\simulator-windows-64\IMG\left_2020_11_21_19_20_56_185.jpg, E:\simulator-windows-64\IMG\right_2020_11_21_19_20_56_185.jpg, 0, 0, 0, 1.577156
E:\simulator-windows-64\IMG\center_2020_11_21_19_20_56_292.jpg, E:\simulator-windows-64\IMG\left_2020_11_21_19_20_56_292.jpg, E:\simulator-windows-64\IMG\right_2020_11_21_19_20_56_292.jpg, -0.294762, 0.294762, 0, 1.841661
E:\simulator-windows-64\IMG\center_2020_11_21_19_20_56_406.jpg, E:\simulator-windows-64\IMG\left_2020_11_21_19_20_56_406.jpg, E:\simulator-windows-64\IMG\right_2020_11_21_19_20_56_406.jpg, -0.655686, 0.655686, 0, 2.753826
E:\simulator-windows-64\IMG\center_2020_11_21_19_20_56_512.jpg, E:\simulator-windows-64\IMG\left_2020_11_21_19_20_56_512.jpg, E:\simulator-windows-64\IMG\right_2020_11_21_19_20_56_512.jpg, -0.9803958, 0.9803958, 0, 3.77181
E:\simulator-windows-64\IMG\center_2020_11_21_19_20_56_636.jpg, E:\simulator-windows-64\IMG\left_2020_11_21_19_20_56_636.jpg, E:\simulator-windows-64\IMG\right_2020_11_21_19_20_56_636.jpg, -0.6153267, 1, 0, 5.173129
E:\simulator-windows-64\IMG\center_2020_11_21_19_20_56_734.jpg, E:\simulator-windows-64\IMG\left_2020_11_21_19_20_56_734.jpg, E:\simulator-windows-64\IMG\right_2020_11_21_19_20_56_734.jpg, -0.314106, 1, 0, 6.333154
E:\simulator-windows-64\IMG\center_2020_11_21_19_20_56_843.jpg, E:\simulator-windows-64\IMG\left_2020_11_21_19_20_56_843.jpg, E:\simulator-windows-64\IMG\right_2020_11_21_19_20_56_843.jpg, 0, 1, 0, 7.688944
E:\simulator-windows-64\IMG\center_2020_11_21_19_20_57_016.jpg, E:\simulator-windows-64\IMG\left_2020_11_21_19_20_57_016.jpg, E:\simulator-windows-64\IMG\right_2020_11_21_19_20_57_016.jpg, 0, 1, 0, 9.488866
E:\simulator-windows-64\IMG\center_2020_11_21_19_20_57_117.jpg, E:\simulator-windows-64\IMG\left_2020_11_21_19_20_57_117.jpg, E:\simulator-windows-64\IMG\right_2020_11_21_19_20_57_117.jpg, 0, 1, 0, 10.59983
